domain;address;city;country_code;country_name;name;phone;region_code;region_name;zip_code
powellbuildings.com;powell & co construction ltd, longmoor, shirlheath, kingsland,, hr6 9rg, leominster, uk, england|longmoor, leominster hr6 9rg, united kingdom;leominster;gb;united kingdom;powell & co;441568708819;eng;england;hr6 9rg
noctem.ca;438 du parvis, g1k 6h8, quebec, qc, canada, quebec|1095 rue vincent-massey suite 8, quebec city, quebec g1n 1n2, canada;quebec;ca;canada;noctem artisans brasseurs;15817427979;qc;quebec;g1k 6h8
h-hotels.com;truderingerstraße 13, 81677, munich, germany, bayern|amsinckstraße 39, 20097 hamburg, germany;hamburg;de;germany;hyperion hotel münchen;49404142000;hh;hamburg;20097
lartdumassage.com;207 sir-w laurier suite e, beloeil, qc j3g 4g8, canada;beloeil;ca;canada;l'art du massage raynald feeney inc.;14503411570;qc;quebec;j3g 4g8
merseyheating.ca;1960 ellesmere road, unit 6, m1h 2v9, toronto, on, canada, ontario|vaughan, on, canada · in eyes child care inc.;;ca;;mersey heating and air conditioning;16474849078;;;
fsjfs.ca;10208 95 ave, v1j 1j2, fort saint john, bc, canada, british columbia|10208 95 ave, fort st john, bc v1j 1j2, canada;fort st. john;ca;canada;fort st john friendship center;12507858566;bc;british columbia;v1j 1j2
handandstone.ca;895 lawrence avenue east                          unit 4, m3c 3l2, toronto, on, canada, ontario|1476 dundas street east units 9 & 10, mississauga, on l4x 1l4, canada;mississauga;ca;canada;hand & stone massage and facial spa canada;14163318686;on;ontario;l4x 1l4
prolevellooks.ca;#105 10507 - 100 ave, morinville, ab, canada, alberta|10507 100 ave, morinville, ab t8r 1a2, canada;morinville;ca;canada;pro-level looks hair studio;17809390707;ab;alberta;t8r 1a2
lcms.org;1333 s kirkwood rd, 63122, kirkwood, mo, missouri|2601 23rd ave s, fargo, nd 58103, united states;fargo;us;united states;the lutheran church—missouri synod;18888435267;nd;north dakota;58103
alpinecatering.ca;3513 d, 78 ave se, calgary, ab t2c 1j7, canada;calgary;ca;canada;alpine catering;14032796664;ab;alberta;t2c 1j7
firstcircle.ca;401 – 224 west esplanade, v7m 1a4, north vancouver, bc, canada, british columbia|224 esplanade w #401, north vancouver, bc v7m 1a4, canada;north vancouver;ca;canada;first circle financial;16049863200;bc;british columbia;v7m 1a4
kabanmontessori.ca;2449 dunwin dr, l5l 1t1, mississauga, on, canada, ontario|2449 dunwin dr, mississauga, on l5l 1t1, canada;mississauga;ca;canada;kaban montessori school;19055693112;on;ontario;l5l 1t1
mortgagearchitects.ca;2205 blvd. cote-vertu ouest, saint-laurent, quebec h4r 1n8, canada;saint-laurent;ca;canada;mortgage architects;19055429100;qc;quebec;h4r 1n8
siemens-energy.com;wolfgang-reuter-platz 2, 47053 duisburg, germany;duisburg;de;germany;siemens energy;492036050;nw;north rhine-westphalia;47053
nuh.com.sg;5 lower kent ridge road, 119074, singapore, singapore, singapore;;sg;singapore;national university hospital - nuh;6567795555;;;119074
axisfootclinic.com;three locations on website, t2a 7x6, calgary, ab, canada, alberta|83 deerpoint rd se, calgary, ab t2j 6w5, canada;calgary;ca;canada;axis foot & ankle clinic;14034773338;ab;alberta;t2a 7x6
dovercornproducts.com;285 merritt ave, n7m3g2, chatham, on, canada, ontario|285 merritt ave, chatham, on n7m 3g2, canada;chatham;ca;canada;dover corn products;15193529710;on;ontario;n7m 3g2
tradewindstours.com;3 tampines central 1 #02-04 abacus plaza, 529540, singapore, singapore, singapore;;sg;singapore;tradewinds tours & travel pte ltd;6564388822;;;529540
westmetrofire.org;433 s allison pkwy, 80226, lakewood, co, colorado|10901 w 38th ave, wheat ridge, co 80033, united states;wheat ridge;us;united states;west metro fire rescue;13039894307;co;colorado;80033
littletotsmanor.com;211 belsize drive, m4s 1m3, toronto, on, canada, ontario|376 balliol st, toronto, on m4s 1e2, canada;toronto;ca;canada;little tots' manor inc.;14164895515;on;ontario;m4s 1m3
highlandpackers.com;432 highland road east, l8j 3g4, stoney creek, on, canada, ontario|432 highland rd e, stoney creek, on l8j 3g4, canada;stoney creek;ca;canada;highland packers ltd.;19056628396;on;ontario;l8j 3g4
tlip2.com;khu công nghiệp thăng long ii, 160000, hung yen, hưng yên province, vietnam, hưng yên province;hung yen;vn;vietnam;thang long industrial park ii corporation;842213974620;66;tinh hung yen;160000
jakit.ca;remote, m5s, toronto, on, canada, ontario|toronto, on, canada;toronto;ca;canada;jak it & voip services;16474789498;on;ontario;
petersenchiro.ca;2274 queensway #2, prince george, bc v2l 1m6, canada;prince george;ca;canada;petersen chiropractic - dr. andrea petersen;12509409000;bc;british columbia;v2l 1m6
barcelonatavern.com;501 - 8th avenue s.w., t2p 1g1, calgary, ab, canada, alberta|501 8 ave sw · in eighth avenue place;calgary;ca;canada;barcelona tavern hq;14032656555;ab;alberta;t2p 1g1
lakefrontmarine.ca;2084 manning road, n8n 2l9, tecumseh, on, canada, ontario|2084 manning rd, tecumseh, on n8n 2l9, canada;tecumseh;ca;canada;lakefront marine inc;15199909991;on;ontario;2l9
thompsonprint.com;115 scott ave., n3l 3k4, paris, on, canada, ontario|115 scott ave, paris, on n3l 3k4, canada;paris;ca;canada;thompson printing;15194427804;on;ontario;n3l 3k4
certocreative.com;211-334 adelaide street west, m5v 0m1, toronto, on, canada, ontario|334 adelaide st w suite 211, toronto, on m5v 0m1;toronto;ca;canada;certo creative;16472434710;on;ontario;m5v 0m1
miltonchrysler.ca;81 ontario street north, l9t2t2, milton, on, canada, ontario|81 ontario st n, milton, on l9t 2t2, canada;milton;ca;canada;milton chrysler;19058788877;on;ontario;l9t 2t2
worc.ox.ac.uk;walton street, ox1 2hb, oxford, uk, england|1 walton st, oxford ox1 2hb, united kingdom;oxford;gb;united kingdom;worcester college, oxford;441865278300;eng;england;ox1 2hb
oman-arabbank.com;sultan qaboos st, muscat, oman;sohar;om;oman;oman arab bank - بنك عُمان العربي;96824754444;zu;muscat;112
pakmail.com;902 oak tree ave, south plainfield, nj 07080;south plainfield;us;united states;pak mail;;nj;new jersey;07080
stjeromechrysler.com;13 855 rue de la chapelle, j7j 2c9, mirabel, qc, canada, quebec|13855 rue de la chapelle, mirabel, quebec j7j 2c9, canada;mirabel;ca;canada;st-jérôme chrysler jeep dodge ram fiat - groupe carbur;14504362200;qc;quebec;j7j 2c9
portofinobakery.ca;6828 kirkpatrick crescent, v8m 1z9, victoria, bc, canada, british columbia|saanichton, bc, canada;victoria;ca;canada;portofino bakery;12504756099;bc;british columbia;
memorylanecampground.ca;56309 range road 13, t0e 1v0|onoway, ab, canada;onoway;ca;canada;memory lane campground and rv park;17809955555;ab;alberta;
geeksinorange.com;10612 172 st nw, t5s1h8, edmonton, ab, canada, alberta|10612 172 st nw, edmonton, ab t5s 1h8, canada;edmonton;ca;canada;geeks in orange;15874040704;ab;alberta;t5s 1h8
wisehealthclinics.com;2000 south, fm 51 suite d, decatur, tx 76234;decatur;us;united states;wise health clinics;19406263888;tx;texas;76234
riortho.com;320 phillips st, north kingstown, ri 02852;north kingstown;us;united states;ri orthodontic group;14017821221;ri;rhode island;02852
heritagecellars.com;erin, on, canada;erin;ca;canada;heritage cellars;16473133313;on;ontario;
oakhillenvironmental.com;16 walnut street, l2t 1h3, saint catharines, on, canada, ontario|16 walnut st, st. catharines, on l2t 1h3, canada;st. catharines;ca;canada;oakhill environmental inc.;19059881243;on;ontario;l2t 1h3
pepperjazz.ca;whitchurch-stouffville, on l4a 2t1, canada;whitchurch-stouffville;ca;canada;pepper jazz catering;16472986059;on;ontario;l4a 2t1
osmondlange.co.za;unit 3, ground floor, building 3, melrose boulevard, 2076, johannesburg, south africa, gauteng|3 melrose blvd, melrose north, johannesburg, 2196, south africa;johannesburg;za;south africa;osmond lange architects & planners;27119944300;gt;gauteng;2076
ohswa.org;80 leland avenue extension, utica, ny, new york|80 leland ave, utica, ny 13502;utica;us;united states;oneida-herkimer solid waste authority;13157331224;ny;new york;13502
amazinghvac.com;2630 georgetown road, 21230, baltimore, md, maryland|2630 georgetown rd, baltimore, md 21230;baltimore;us;united states;amazing hvac, inc.;14108344693;md;maryland;21230
chinookrehab.com;unit: 103, 5940 macleod trail sw, t2h2g4, calgary, ab, canada, alberta|5940 macleod trail sw #103, calgary, ab t2h 2g4, canada;calgary;ca;canada;chinook rehab centre  physio / chiro /massage / acupuncture;15873927777;ab;alberta;t2h 2g4
ashridgevehicles.co.uk;ashridge vehicles ltd, hp4 1qp|little gaddesden, berkhamsted hp4 1qp, united kingdom;berkhamsted;gb;united kingdom;ashridge vehicles ltd;441442843884;eng;england;hp4 1qp
northernstarsgymnastics.com;27 hooper road, unit 9, l4n 9s3, barrie, on, canada, ontario|27 hooper rd, barrie, on l4n 9s3, canada;barrie;ca;canada;northern stars gymnastics;17057196461;on;ontario;l4n 9s3
intrendmortgage.com;1550 16th avenue building c north, l4b 3k9, richmond hill, on, canada, ontario|113 main st n, markham, on l3p 1x8, canada;richmond hill;ca;canada;intrend mortgage inc.;19057808988;on;ontario;l4b 3k9
watsonscatering.com;1 glenville st, 06831, greenwich, ct, connecticut|1 glenville st, greenwich, ct 06831;greenwich;us;united states;watson's catering and events;12035320132;ct;connecticut;06831
equusfabrics.com;190 millway ave., unit 2, l4k 3w4, vaughan, on, canada, ontario|190 millway av, concord, on l4k 3w4, canada;concord;ca;canada;equus fabrics;19057619153;on;ontario;l4k 3w4
translucentcomputing.com;1 yonge st, m5e 1e5, toronto, on, canada, ontario|1 yonge st, toronto, on m5e 1e5, canada;toronto;ca;canada;translucent computing inc;18888280144;on;ontario;m5e 1e5
handandstone.ca;895 lawrence avenue east                          unit 4, m3c 3l2, toronto, on, canada, ontario|1615 orléans blvd, orléans, on k1c 7e2, canada;orleans;ca;canada;hand & stone massage and facial spa canada;14163318686;on;ontario;k1c 7e2
bendunnegyms.com;blanchardstown, dublin, d15 x624, ireland;blanchardstown;;ireland;ben dunne gyms;;l;leinster;d15
taylorsestateagents.co.uk;3 shannon court, high street, sg19 1ag, sandy, uk, england|13 queensway, stevenage sg1 1da, united kingdom;sandy;gb;united kingdom;taylors estate and lettings agents;441438420115;eng;england;sg19 1ag
farquharsonrealty.com;6223 main street, l4a 4j3, stouffville, on, canada, ontario|6223 main st, whitchurch-stouffville, on l4a 3r4, canada;stouffville;ca;canada;farquharson realty ltd;19056404151;on;ontario;l4a 4j3
willowgroup.ca;25 waterman ave #25, east york, on m4b 1y6, canada;east york;ca;canada;willowcreek contracting;18669237366;on;ontario;m4b 1y6
boulaiscpa.com;606, rue champlain, suite 202, j3b 6x1, saint-jean-sur-richelieu, qc, canada, quebec|606 rue champlain, saint-jean-sur-richelieu, qc j3b 6x1, canada;saint-jean-sur-richelieu;ca;canada;boulais cpa;14503472666;qc;quebec;j3b 6x1
bradstowing.ca;717 43rd st e, s7k 0v7, saskatoon, sk, canada, saskatchewan|717 43 st e, saskatoon, sk s7k 0v7, canada;saskatoon;ca;canada;brad's towing;13069311221;sk;saskatchewan;s7k 0v7
nemosexpresscarwash.com;2651 north university drive, 33322, sunrise, fl, florida|sunrise, fl · (954) 741-5116;sunrise;us;united states;nemo's express car wash and detailing;19547415116;fl;florida;
brassonissan.com;195 glendeer circle se, t2h 2s8, calgary, ab, canada, alberta|195 glendeer cir se, calgary, ab t2h 2s8, canada;calgary;ca;canada;brasso nissan;14032535555;ab;alberta;t2h 2s8
cactusclubcafe.com;11130 jasper ave, t5k 0l1, edmonton, ab, canada, alberta|178 - 317 7th avenue southwest stephen ave +, 3 st sw · in core shopping centre;edmonton;ca;canada;cactus club cafe;14034549399;ab;alberta;t5k 0l1
bellefleurphysio.com;3095 st joseph blvd, k1e 3w6, orleans, on, canada, ontario|3095 st joseph blvd, orléans, on k1e 3w6, canada;orleans;ca;canada;bellefleur physiotherapy orléans;16134247852;on;ontario;k1e 3w6
trendingsalon.com;1767 hamilton st, s4p 2b4, regina, sk, canada, saskatchewan|1767 hamilton st, regina, sk s4p 2b4, canada;regina;ca;canada;downtown nail spa inc;13065690001;sk;saskatchewan;s4p 2b4
renodiocese.org;290 s arlington ave, reno, nv 89501, united states;reno;us;united states;diocese of reno;17753269410;nv;nevada;89501
holidayford.com;1555 lansdowne st, k9j 7m3, peterborough, on, canada, ontario|1555 lansdowne st, peterborough, on k9j 7m3, canada;peterborough;ca;canada;holiday ford lincoln;17057425432;on;ontario;k9j 7m3
cinemaimperial.com;1432 de bleury rue, h3a 2j1, montreal, qc, canada, quebec|1430 rue de bleury, montreal, quebec h3a 2j1, canada;montreal;ca;canada;cinéma impérial;15148847187;qc;quebec;h3a 2j1
awningsandmore.ca;41 brightonwoods gdns se, t2z 0p9, calgary, ab, canada, alberta;calgary;ca;canada;awnings and more;15873176933;ab;alberta;
timkohome.com;938 19st se, t1a 7x1, medicine hat, ab, canada, alberta|938 19 st sw, medicine hat, ab t1a 7x1, canada;medicine hat;ca;canada;timko home improvements;14035271211;ab;alberta;t1a 7x1
corsameccanica.com;34 futurity gate, l4k 1s6, vaughan, on, canada, ontario|34 futurity gate #1, concord, on l4k 1s6, canada;concord;ca;canada;corsa meccanica;19057609933;on;ontario;l4k 1s6
ces.ca.uky.edu;348 university drive, 42445, princeton, ky, kentucky|1205 hopkinsville st, princeton, ky 42445;princeton;us;united states;university of kentucky research and education center;12703657541;ky;kentucky;42445
bakertilly.ca;301 moodie dr 400, k2h9c4, ottawa, on, canada, ontario|325 devonshire rd suite 200, windsor, on n8y 2l3, canada;ottawa;ca;canada;baker tilly ottawa llp;15192585800;on;ontario;n8y 2l3
kellysheating.ca;1397 bayview ave, m4g 3a6, toronto, on, canada, ontario|1397 bayview ave, east york, on m4g 3a6, canada;east york;ca;canada;j kelly's heating;14164838077;on;ontario;m4g 3a6
dgacanada.com;621 oxford st, winnipeg, mb r3m 3j3, canada;winnipeg;ca;canada;dakota gymnastics academy;14317770496;mb;manitoba;r3m 3j3
exitrealty.com;16 russell st w, k9v 2w7, lindsay, on, canada, ontario|2345 argentia rd #200, mississauga, on l5n 8k4, canada;lindsay;ca;canada;exit realty sunset brokerage ltd.;17058783948;on;ontario;k9v 2w7
odysseedirect.com;3 rue turgeon, j7e 3h2, sainte-thérèse, qc, canada, quebec|3 rue turgeon, sainte-thérèse, quebec j7e 3h2, canada;sainte-therese;ca;canada;groupe financier odyssée;18884473629;qc;quebec;j7e 3h2
soundconnectionscentres.com;suites 19-21, building b1, 2451 dieppe ave sw, t3e 7k1, calgary, ab, canada, alberta|2451 dieppe ave sw building b1, calgary, ab t3e 7k1, canada;calgary;ca;canada;sound connections literacy and language centre calgary;14034530066;ab;alberta;t3e 7k1
barzandentistry.com;216 queen st. e, p6a 1y7, sault sainte marie, on, canada, ontario|216 queen st e, sault ste. marie, on p6a 1y7, canada;sault ste. marie;ca;canada;barzan family dental;17059462700;on;ontario;p6a 1y7
laurentiandrivingschool.yolasite.com;796 lasalle blvd., p3a4v4, greater sudbury, on, canada, ontario|796 lasalle blvd, sudbury, on p3a 4v4, canada;greater sudbury;ca;canada;laurentian driving school inc.;17055663622;on;ontario;p3a 4v4
montysc.vic.edu.au;para road, 3094, montmorency, vic, australia, victoria|para rd, montmorency vic 3094, australia;montmorency;au;australia;montmorency high school (a.k.a montmorency secondary college);61394221500;vic;victoria;victoria
terex.com;9528 w interstate 40 service rd, oklahoma city, ok 73128;oklahoma city;us;united states;terex corporation;14057876020;ok;oklahoma;73128
totspotacademy.com;9420 - 86 mckenney ave, t8n 2t7, saint albert, ab, canada, alberta|86 mckenney ave #9420, st. albert, ab t8n 2g4, canada;st. albert;ca;canada;tot spot academy inc.;17802673702;ab;alberta;t8n 2g4
kellywilliamscurtains.co.uk;new road, hp4 3qy, berkhamsted, uk, england|new rd, berkhamsted hp4 3qy, united kingdom;berkhamsted;gb;united kingdom;kelly williams curtains, blinds & soft furnishings;447961035098;eng;england;hp4 3qy
waggfuneralhome.com;216 queen street, l9l 1b9, port perry, on, canada, ontario|216 queen st, port perry, on l9l 1b9, canada;port perry;ca;canada;wagg funeral home;19059852171;on;ontario;l9l 1b9
qualcomm.com;5494 procyon st, las vegas, nv 89118;las vegas;us;united states;qualcomm;17025972009;nv;nevada;89118
bestbuyinsurance.ca;1 rossland rd w, l1z 1z2, ajax, on, canada, ontario|1 rossland rd w #208, ajax, on l1z 1z2, canada;ajax;ca;canada;best buy insurance inc.;12892784278;on;ontario;l1z 1z2
bloemwater.co.za;n0 2 mzuzu street, 9301, bloemfontein, south africa, free state|2 mzuzu street, pellissier, bloemfontein, 9301, south africa;bloemfontein;za;south africa;bloem water;27514030800;fs;orange free state;9301
thedanceextensioninc.com;50 paxman rd # 15, m9c 1b7, toronto, on, canada, ontario|50 paxman rd, etobicoke, on m9c 1b7, canada;etobicoke;ca;canada;the dance extension;14166261916;on;ontario;m9c 1b7
utwente.nl;drienerlolaan 5, 7522nb, enschede, netherlands, overijssel|drienerlolaan 5, 7522 nb enschede, netherlands;enschede;nl;netherlands;university of twente;31534899111;ov;provincie overijssel;7522nb
elekta.com;kungstensgatan 18, 103 93, stockholm, sweden, stockholm county|3 chome-9-1 shibaura, tokyo, 108-0023, japan;stockholm;se;sweden;elekta;81367223800;ab;stockholm;103 93
aspirateurbellavance.ca;1089 rue du conseil, j1g 1m4, sherbrooke, qc, canada, quebec|1089 rue du conseil, sherbrooke, quebec j1g 1m3, canada;sherbrooke;ca;canada;les aspirateurs dany bellavance inc.;18195633374;qc;quebec;j1g 1m4
esc.edu;177 livingston st 6th floor, brooklyn, ny 11201;brooklyn;us;united states;suny empire state college, school for graduate studies;17187834400;ny;new york;11201
spicerlandscaping.ca;4121 morris dr, burlington, on, canada, ontario|4121 morris dr, burlington, on l7l 5l5, canada;burlington;ca;canada;spicer landscaping & snow removal services;19052200862;on;ontario;l7l 5l5
liquidationguys.ca;178 albert street, e1c 1b2, moncton, nb, canada, new brunswick|178 albert st, moncton, nb e1c 1b3, canada;moncton;ca;canada;liquidation guys;15063891653;nb;new brunswick;e1c 1b2
cbc.ca;123 edmonton city centre mall  at 10062-102 avenue, edmonton, ab, canada, alberta|6940 mumford rd #100, halifax, ns b3l 0b7, canada;edmonton;ca;canada;cbc edmonton;19024204100;ab;alberta;b3l 0b7
sonidentistry.com;400 avondale rd & 705 wonderland rd n, n5w 5b7, london, on, canada, ontario|400 avondale rd, london, on n5w 5b7, canada;london;ca;canada;soni dentistry;15194535111;on;ontario;n5w 5b7
peermont.com;northdowns office park, 17 georgian crescent, bryanston, 2152|64 jones rd, o.r. tambo, kempton park, 1619;kempton park;;south africa;peermont hotels casinos resorts;27860777900;gt;gauteng;1619
halton-construction.com;7111 syntex dr, l5n 8c3, mississauga, on, canada, ontario|7111 syntex dr unit 334, mississauga, on l5n 8c3, canada;mississauga;ca;canada;halton construction limited;16477724311;on;ontario;l5n 8c3
barclayfuneralhome.com;c/o 137 pearl street east, k6v1r2, brockville, on, canada, ontario|137 pearl st e, brockville, on k6v 1r2, canada;brockville;ca;canada;barclay funeral home ltd.;16133422792;on;ontario;k6v 1r2
hallmarkhousekeeping.com;2150 islington avenue, suite 400, m9p 3v4, toronto, on, canada, ontario|1450 28 st ne unit #1, calgary, ab t2a 7w6, canada;calgary;ca;canada;hallmark housekeeping services inc;14032611666;ab;alberta;t2a 7w6
santafearquitectos.com;c/pedrezuela 4 – 1º7 alcorcón – madrid, alcorcón, spain, comunidad de madrid|calle pedrezuela, 4, 1º 7, 28925 alcorcón, madrid, spain;madrid;es;spain;santafé arquitectos;34692249927;md;madrid;28925
taylorsestateagents.co.uk;3 shannon court, high street, sg19 1ag, sandy, uk, england|74 regent st, kingswood, bristol bs15 8ja, united kingdom;sandy;gb;united kingdom;taylors estate and lettings agents;441173690382;eng;england;sg19 1ag
siksikyuen.org.hk;九龍黃大仙竹園村2號, hong kong, hong kong, hong kong|chuk un, hong kong · +852 2327 8141;;hk;;嗇色園黃大仙祠 sik sik yuen wong tai sin temple;85223278141;;;
lsminsurance.ca;2900 john st suite 302, l3r 5g3, markham, on, canada, ontario|2900 john st #302, markham, on l3r 5g3, canada;markham;ca;canada;lsm insurance canada;19052484849;on;ontario;l3r 5g3
phoenixspa.ca;#3 210 broadway ave. east, t0j 2p0, redcliff, ab, canada, alberta|redcliff, ab, canada;redcliff;ca;canada;phoenix spa redcliff;14034871333;ab;alberta;
matc.edu;west allis, wi;west allis;us;united states;milwaukee area technical college;14144565500;wi;wisconsin;
vanityroofing.ca;2838 carp rd, k0a 1l0, carp, on, canada, ontario|kanata, on, canada;kanata;ca;canada;vanity roofing - ottawa roofing company;16138514448;on;ontario;
teeplearch.com;5 camden st, m5v1v2, toronto, on, canada, ontario|5 camden st, toronto, on m5v 1v2, canada;toronto;ca;canada;teeple architects inc.;14165980554;on;ontario;m5v 1v2
